"global_category","indicator_name","value","count"
"Sectoral Information","Existing sectoral policies","Zero Effect, Zero Defect (ZED) - quality control and certification scheme for energy efficiency, enhanced resources efficiency, pollution control, use of renewable energy, waste management etc. in SMEs",2
"Sectoral Information","Existing sectoral policies","""Minimum Energy Performance Standards and Labelling (MEPSL) Regulations""",1
"Sectoral Information","Existing sectoral policies","""State policy on food and agricultural sector, 2010""",1
"Sectoral Information","Existing sectoral policies","""State policy on forest, 2015""",1
"Sectoral Information","Existing sectoral policies","""State policy on the energy sector of Mongolia, 2015""<br>""Law on renewable energy, 2015; Law on energy, 2015; National program on energy saving, 2017""",1
"Sectoral Information","Existing sectoral policies","""The implementation of the Energy Management Systems is foreseen through the requirements established by the Cuban and international standard NC ISO 5000, as well as other regulations for the efficient use of energy, provided for in the Decree Law 345 in force in the country""",1
"Sectoral Information","Existing sectoral policies","12th National Economic and Social Development Plan 2017-2021; Climate Change Master Plan B.E. 2558-2593 (2015-2050)",1
"Sectoral Information","Existing sectoral policies","Act No. 18 year 2008 regarding Solid Waste Management | Government Regulation No. 81 year 2012 regarding Management of Domestic Solid Waste.",1
"Sectoral Information","Existing sectoral policies","Action Plan on Forestry Rehabilitation and National Afforestation Campaign",1
"Sectoral Information","Existing sectoral policies","Alternative Energy Development Plan B.E. 2558-2579 (2015-2036)",1
"Sectoral Information","Existing sectoral policies","Biofuels Act of 2006 and the Renewable Energy Act of 2008",1
"Sectoral Information","Existing sectoral policies","Climate Change Strategy and Action Plan",1
"Sectoral Information","Existing sectoral policies","Developing a new National Climate Change Policy and Sustainable Energy Policy",1
"Sectoral Information","Existing sectoral policies","Ecological Solid Waste Management Act of 2000",1
"Sectoral Information","Existing sectoral policies","Energy Efficiency Plan B.E. 2558-2579 (2015-2036)",1
"Sectoral Information","Existing sectoral policies","Energy Performance of Buildings Regulations",1
"Sectoral Information","Existing sectoral policies","Environmentally Sustainable Transport System Plan B.E.2556-2573 (2013-2030)",1
"Sectoral Information","Existing sectoral policies","Fiscal reform in reduction of public subsidies to electricity and different petroleum products,",1
"Sectoral Information","Existing sectoral policies","Forest Management Act, National Forest Policy",1
"Sectoral Information","Existing sectoral policies","Forestry Act",1
"Sectoral Information","Existing sectoral policies","IRENA Renewable Energy Outlook: Lebanon",1
"Sectoral Information","Existing sectoral policies","La Politique Nationale de lâ€™Agriculture | Le Cadre stratÃ©gique dâ€™investissement pour la gestion durable des terres | Le Programme pilote  de dÃ©veloppement dâ€™une agriculture intelligente et rÃ©siliente aux changements climatiques | Le Programme national dâ€™amÃ©nagement pastoral rÃ©silient aux Changements Climatiques | Le Programme de captage et stockage des eaux de pluie",1
"Sectoral Information","Existing sectoral policies","la Politique Nationale de Protection de lâ€™Environnement | la Politique Nationale ForestiÃ¨re | la Politique Nationale des Changements Climatiques, sa stratÃ©gie et son plan dâ€™action | Les Plans quinquennaux de reboisement | La StratÃ©gie Nationale de la diversitÃ© biologique | La StratÃ©gie Nationale de gestion des aires protÃ©gÃ©es | la Grande Muraille Verte | le MÃ©canisme de DÃ©veloppement Propre",1
"Sectoral Information","Existing sectoral policies","Law No. 26,331 for native forests protection",1
"Sectoral Information","Existing sectoral policies","Law No. 27,132 for rail transport system",1
"Sectoral Information","Existing sectoral policies","Law No20.283 on Native Forest Recovery and Forest Promotion",1
"Sectoral Information","Existing sectoral policies","Law on Energy Efficiency (2011); the National Energy Development Strategy to 2020 with a vision to 2050 (2007)",1
"Sectoral Information","Existing sectoral policies","Lesotho Energy Policy 2015",1
"Sectoral Information","Existing sectoral policies","Lesotho Rnewable Energy Policy 2013",1
"Sectoral Information","Existing sectoral policies","Long Term Electricity Generation Expansion Plan 2015-2032",1
"Sectoral Information","Existing sectoral policies","National Electricity Roll-Out Plan",1
"Sectoral Information","Existing sectoral policies","National Energy Plan 2013-2033, Electricity Bill",1
"Sectoral Information","Existing sectoral policies","National Energy Policy 2017 - 2027; PNG Power 15 Year Power Development Plan; The Medium-Term Development Plan III Key Result Area 2: Goal 2.1; Papua New Guinea’s Sustainable Development Goal 13 Roadmap; The National Electrification Roll-Out Plan; PNG’s Country Programme for Green Climate Fund finance; The Climate Change (Management) Act 2015",1
"Sectoral Information","Existing sectoral policies","National Environmental Policy",1
"Sectoral Information","Existing sectoral policies","National Industrial Development Master Plan B.E.2555-2574 (2012-2031)",1
"Sectoral Information","Existing sectoral policies","National Intelligent Transport Systems Strategy Document (2014-2023) and its Action Plan (2014-2016)",1
"Sectoral Information","Existing sectoral policies","National Logistics Strategy",1
"Sectoral Information","Existing sectoral policies","National Mobility Strategy",1
"Sectoral Information","Existing sectoral policies","National Policy Directive on Clean Energy Resources",1
"Sectoral Information","Existing sectoral policies","National REDD Plus Strategy; Expanded National Integrated Protected Areas Systems",1
"Sectoral Information","Existing sectoral policies","National Smart Transportation Systems Strategy Document (2014-2023) and its Action Plan (2014-2016)",1
"Sectoral Information","Existing sectoral policies","National Solid Waste Management Strategy and Plan",1
"Sectoral Information","Existing sectoral policies","National Strategy and Action Plan on Energy Efficiency",1
"Sectoral Information","Existing sectoral policies","National Strategy and Action Plan on Recycling",1
"Sectoral Information","Existing sectoral policies","National Strategy for Climate Change and Vegetation Resources (ENCCRV)",1
"Sectoral Information","Existing sectoral policies","National Strategy on Industry",1
"Sectoral Information","Existing sectoral policies","Plan of Circular Economy",1
"Sectoral Information","Existing sectoral policies","Power Development Plan B.E. 2558-2579 (2015-2036); Thailand Smart Grid Development Master Plan B.E. 2558-2579 (2015-2036)",1
"Sectoral Information","Existing sectoral policies","REDD + Action Plan of Ecuador “Forests for Good Living” 2016-2025",1
"Sectoral Information","Existing sectoral policies","Resolution of Viet Nam’s Central Committee of the Communist Party of Viet Nam on proactively responding to climate change, strengthening natural resources management and environmental protection (2013); the Conclusion of the Politburo on promoting active climate change response, strengthening natural resources management and environmental protection (2019); the Resolution of the Politburo of the Central Committee of the Communist Party of Viet Nam on the orientation for the National Energy Development Strategy to 2030 with a vision to 2045 (2020); the Law on Environmental Protection (2014)",1
"Sectoral Information","Existing sectoral policies","Scotland’s Energy Efficient Scotland Route Map",1
"Sectoral Information","Existing sectoral policies","Scotland’s Making Things Last strategy;<br>""The Welsh Government has consulted on a new Circular Economy Strategy""<br>""Northern Ireland published the second iteration of the national Waste Prevention Programme Stopping Waste in its Tracks in 2019""",1
"Sectoral Information","Existing sectoral policies","Scotland’s National Transport Strategy",1
"Sectoral Information","Existing sectoral policies","Sector Plan for Andorra's Energy Infrastructure",1
"Sectoral Information","Existing sectoral policies","September 2018 the Andorran Parliament unanimously approved Law 21/2018, Promoting the Energy Transition and Fight against Climate Change.",1
"Sectoral Information","Existing sectoral policies","Singapore has mandated minimum energy performance standards and developed the Super Low Energy Buildings Programme, which supports the research and adoption of cost-effective, energy-efficient and renewable energy solutions.",1
"Sectoral Information","Existing sectoral policies","Singapore made early policy choices that reduced its GHG emissions, for example by switching from fuel oil to natural gas â€“ the cleanest form of fossil fuel â€“ for power generation.",1
"Sectoral Information","Existing sectoral policies","the Agriculture Development Strategy (2015),",1
"Sectoral Information","Existing sectoral policies","The EU Emission Trading System (ETS) regulates emissions from industrial plants, power plants, the petroleum industry and commercial aviation within the European Economic Area.",1
"Sectoral Information","Existing sectoral policies","The Forest Act (2014)",1
"Sectoral Information","Existing sectoral policies","the Forestry Law (2017) ; the Viet Nam Forestry Development Strategy 2006-2020 (2007)",1
"Sectoral Information","Existing sectoral policies","The Land Use, Land-Use Change and Forestry (LULUCF) Regulation",1
"Sectoral Information","Existing sectoral policies","The Low Carbon Agriculture Plan (ABC)",1
"Sectoral Information","Existing sectoral policies","the Master Planning Schemes of the Communes (SDAC)",1
"Sectoral Information","Existing sectoral policies","the National Plan of Water Resources",1
"Sectoral Information","Existing sectoral policies","The National Reforestation and Afforestation Strategies, National Strategies on Domestic Processing of Forest Produce, Revised PNG Logging Code of Practice 2nd Edition, and the PNG Timber Legality Standard",1
"Sectoral Information","Existing sectoral policies","The Papua New Guinea National REDD+ Strategy (2017 - 2027); The REDD+ Finance and Investment Plan (RFIP); PNG’s National REDD Strategy (NRS); Reducing Emissions from Deforestation and Forest Degradation and Enhancement of Carbon Stocks (REDD+)",1
"Sectoral Information","Existing sectoral policies","The Regulation on the Governance of the Energy Union and Climate Action; National Energy and Climate Plans for the period 2021 to 2030",1
"Sectoral Information","Existing sectoral policies","The Resources and Waste Strategy for England",1
"Sectoral Information","Existing sectoral policies","the Viet Nam Renewable Energy Development Strategy to 2030 with a vision to 2050 (2015)",1
"Sectoral Information","Existing sectoral policies","the Viet Nam Transport Development Strategy to 2020 with a vision to 2030 (2013)",1
